folds,val_cindex,test_cindex
0,0.6460807600950119,0.6158940397350994
1,0.5298507462686567,0.4536817102137767
2,0.6443057722308893,0.5727611940298507
3,0.6468401486988847,0.6349453978159126
4,0.6274834437086093,0.587360594795539
